"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Legal Name","Record Type","Census Block Group","Company Description","Primary SIC Code","Primary NAICS","Type of Business","Latitude","Longitude"
"ALDI","ALDI INC","","","3280 Tremont Rd","Upper Arlington","OH","43221","","Verified","4","Visit Your Upper Arlington Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 3280 Tremont Road To Start Saving On Quality Products.","541105","44511003","Private","040.023654","-083.057792"
"ALDI","ALDI INC","Sarah","Caplinger","5996 Westerville Rd","Westerville","OH","43081","","Verified","3","Visit Your Westerville Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 5996 Westerville Rd To Start Saving On Quality Products.","541105","44511003","Private","040.094984","-082.923793"
"ALDI","ALDI INC","Jetta","Yarger","3831 E Main St","Whitehall","OH","43213","","Verified","2","Visit Your Whitehall Aldi For Low Prices On Groceries And Home Goods. From Fresh Produce And Meats To Organic Foods, Beverages And Other Award-Winning Items, Aldi Makes The Flavorful Affordable. Plus, With New Limited-Time Aldi Finds Added To Shelves Each Week, Theres Always Something New To Discover. Shop Online With Curbside Pickup OR Delivery, OR Swing By Your Neighborhood Market At 3831 E Main St To Start Saving On Quality Products.","541105","44511003","Private","039.955423","-082.896396"
"Alex Market","","Mukhtar","Ahmad","2991 Sullivant Ave","Columbus","OH","43204","","Verified","2","","541105","44511003","Private","039.943089","-083.078480"
"Alma Food Inc","","","","1547 Cleveland Ave","Columbus","OH","43211","ALMA FOOD INC","Verified","2","","541105","44511003","Private","039.997203","-082.978363"
"Ameristop Food Mart","","Mohammed","Obeid","4432 Walford St","Columbus","OH","43224","","Verified","3","","541103","44513101","Private","040.058688","-082.961390"
"Ameristop Food Mart","","Ron","Hoffmann","495 Lancaster Ave","Reynoldsburg","OH","43068","","Verified","3","","554101","45712003","Private","039.973071","-082.811002"
"Apsara Markets","","","","801 Harrisburg Pike","Columbus","OH","43223","","Verified","1","","531104","45511003","Private","039.940699","-083.040505"
"Archana Grocery LLC","","","","1782 Morse Rd","Columbus","OH","43229","ARCHANA GROCERY LLC","Verified","4","","541105","44511003","Private","040.061953","-082.971996"
"Arena Produce Co","","Anthony","Arena","875 Reynolds Ave","Columbus","OH","43201","","Verified","2","","541105","44511003","Private","039.980270","-082.980670"
"Arirang Oriental Market","","Y","Wada","1526 Bethel Rd","Columbus","OH","43220","","Verified","4","","541105","44511003","Private","040.065301","-083.059255"
"Ashtown African Market LLC","","Kwasi A","Poku","2500 Home Acre Dr","Columbus","OH","43231","ASHTOWN AFRICAN MARKET LLC","Verified","3","","541105","44511003","Private","040.098576","-082.949218"
