,NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract
135,Census Tract 70.41; Franklin County; Ohio,993,11,22,9,0,5,13,5,18,58,98,150,284,63,67,72,118,39,049,007041
136,Census Tract 70.43; Franklin County; Ohio,2759,77,50,174,180,54,134,241,46,46,368,326,255,429,139,161,79,39,049,007043
137,Census Tract 70.44; Franklin County; Ohio,2928,98,87,28,34,47,68,120,106,65,291,261,502,411,142,469,199,39,049,007044
138,Census Tract 70.47; Franklin County; Ohio,1849,68,57,24,80,10,36,112,94,51,154,116,279,275,190,183,120,39,049,007047
139,Census Tract 70.48; Franklin County; Ohio,2301,0,59,23,61,45,27,97,40,45,92,250,391,381,230,245,315,39,049,007048
140,Census Tract 71.01; Franklin County; Ohio,1150,0,22,26,60,89,71,0,70,58,100,164,76,155,100,81,78,39,049,007101
141,Census Tract 71.02; Franklin County; Ohio,1321,54,38,46,17,8,67,0,0,12,13,80,244,181,79,218,264,39,049,007102
142,Census Tract 71.03; Franklin County; Ohio,1668,43,141,20,0,0,32,0,89,21,67,181,294,236,303,161,80,39,049,007103
143,Census Tract 71.12; Franklin County; Ohio,2537,37,61,61,87,156,32,262,19,18,60,321,252,430,268,358,115,39,049,007112
144,Census Tract 71.13; Franklin County; Ohio,1888,7,16,16,12,66,131,178,50,136,122,228,359,209,109,225,24,39,049,007113
145,Census Tract 71.14; Franklin County; Ohio,2253,142,125,114,35,39,102,131,105,90,296,307,301,267,60,40,99,39,049,007114
146,Census Tract 71.15; Franklin County; Ohio,2396,125,95,29,102,109,210,20,158,37,259,293,430,270,124,135,0,39,049,007115
147,Census Tract 71.20; Franklin County; Ohio,1824,10,6,23,16,24,59,5,23,44,181,187,418,331,228,144,125,39,049,007120
148,Census Tract 71.93; Franklin County; Ohio,2352,102,61,48,0,24,13,50,65,22,64,84,247,373,276,521,402,39,049,007193
149,Census Tract 71.98; Franklin County; Ohio,1172,10,13,39,0,0,15,97,33,30,118,102,174,133,142,137,129,39,049,007198
150,Census Tract 71.99; Franklin County; Ohio,2975,58,20,0,0,179,106,0,32,99,602,547,630,225,325,106,46,39,049,007199
151,Census Tract 72.02; Franklin County; Ohio,1588,11,107,64,26,77,92,110,77,33,126,263,172,102,103,129,96,39,049,007202
152,Census Tract 72.05; Franklin County; Ohio,3659,25,12,15,46,28,43,46,99,66,267,477,507,679,435,386,528,39,049,007205
153,Census Tract 72.09; Franklin County; Ohio,4312,37,41,54,180,76,98,96,82,205,213,477,856,371,464,324,738,39,049,007209
154,Census Tract 72.11; Franklin County; Ohio,1368,27,6,0,26,16,14,0,0,0,0,78,46,53,74,156,872,39,049,007211
155,Census Tract 72.12; Franklin County; Ohio,1839,0,0,11,24,27,60,54,37,30,14,194,116,124,126,264,758,39,049,007212
156,Census Tract 72.13; Franklin County; Ohio,1905,39,33,28,0,22,12,0,8,22,45,83,157,166,181,233,876,39,049,007213
157,Census Tract 72.14; Franklin County; Ohio,2108,38,39,91,0,8,75,188,201,199,103,256,229,240,107,190,144,39,049,007214
158,Census Tract 72.15; Franklin County; Ohio,2926,22,12,18,20,0,0,18,127,134,379,377,456,484,267,327,285,39,049,007215
159,Census Tract 73.01; Franklin County; Ohio,2136,53,38,0,89,75,33,31,231,77,10,205,252,413,491,84,54,39,049,007301
160,Census Tract 73.02; Franklin County; Ohio,2061,41,26,0,15,12,48,48,286,47,195,316,326,347,169,155,30,39,049,007302
161,Census Tract 73.03; Franklin County; Ohio,2575,61,138,32,0,110,166,347,18,0,43,184,154,250,227,204,641,39,049,007303
162,Census Tract 73.05; Franklin County; Ohio,2391,140,45,22,17,73,46,50,153,29,186,246,218,173,333,276,384,39,049,007305
163,Census Tract 73.06; Franklin County; Ohio,1568,8,0,0,0,8,0,0,0,46,31,69,195,154,157,243,657,39,049,007306
164,Census Tract 73.94; Franklin County; Ohio,1316,13,0,11,12,42,26,11,12,23,19,91,93,54,73,174,662,39,049,007394
165,Census Tract 73.97; Franklin County; Ohio,1406,39,0,36,0,0,4,120,73,112,26,253,232,130,127,86,168,39,049,007397
166,Census Tract 73.98; Franklin County; Ohio,2746,10,0,0,10,96,33,29,122,45,183,287,374,386,685,329,157,39,049,007398
167,Census Tract 74.24; Franklin County; Ohio,2294,81,0,124,87,15,17,35,139,53,256,223,341,455,264,159,45,39,049,007424
168,Census Tract 74.25; Franklin County; Ohio,1155,34,30,11,36,39,51,37,42,113,24,74,151,123,170,144,76,39,049,007425
169,Census Tract 74.26; Franklin County; Ohio,1579,42,11,44,37,23,47,51,36,85,58,130,226,313,135,143,198,39,049,007426
170,Census Tract 74.27; Franklin County; Ohio,2397,50,32,45,29,86,19,116,42,190,207,151,276,356,210,336,252,39,049,007427
171,Census Tract 74.92; Franklin County; Ohio,2481,42,0,87,42,31,13,134,11,46,143,295,139,372,349,287,490,39,049,007492
172,Census Tract 74.94; Franklin County; Ohio,1533,93,10,18,51,47,27,71,0,9,77,102,168,312,148,205,195,39,049,007494
173,Census Tract 75.11; Franklin County; Ohio,794,89,107,77,38,94,23,101,21,4,0,54,135,16,35,0,0,39,049,007511
174,Census Tract 75.12; Franklin County; Ohio,1734,171,158,53,50,136,76,47,110,104,315,161,231,71,35,0,16,39,049,007512
175,Census Tract 75.20; Franklin County; Ohio,1226,250,81,34,58,130,151,89,136,90,23,21,80,83,0,0,0,39,049,007520
176,Census Tract 75.31; Franklin County; Ohio,1236,42,23,52,202,158,95,67,33,53,185,90,112,81,6,15,22,39,049,007531
177,Census Tract 75.32; Franklin County; Ohio,1190,48,39,81,159,102,160,19,60,81,147,56,160,59,9,10,0,39,049,007532
178,Census Tract 75.33; Franklin County; Ohio,712,53,85,36,87,0,73,36,43,33,53,57,53,17,69,17,0,39,049,007533
179,Census Tract 75.34; Franklin County; Ohio,1401,151,173,45,49,243,70,51,48,73,89,115,163,36,76,19,0,39,049,007534
180,Census Tract 75.50; Franklin County; Ohio,988,60,36,8,40,17,8,83,31,52,135,108,169,172,48,8,13,39,049,007550
181,Census Tract 75.52; Franklin County; Ohio,1274,53,42,150,34,136,3,94,36,9,121,166,121,174,47,88,0,39,049,007552
182,Census Tract 75.53; Franklin County; Ohio,2332,198,148,91,25,72,125,248,74,76,263,196,122,227,132,190,145,39,049,007553
183,Census Tract 77.10; Franklin County; Ohio,1704,70,76,122,132,103,212,74,131,133,250,32,207,101,0,61,0,39,049,007710
184,Census Tract 77.21; Franklin County; Ohio,2070,274,122,95,144,80,95,279,58,123,143,78,325,1,137,98,18,39,049,007721
185,Census Tract 77.22; Franklin County; Ohio,1618,32,100,63,47,194,229,107,31,43,106,169,250,129,86,8,24,39,049,007722
186,Census Tract 77.30; Franklin County; Ohio,1353,149,0,22,77,48,29,75,48,23,169,111,207,117,162,43,73,39,049,007730
187,Census Tract 77.40; Franklin County; Ohio,868,25,16,81,60,35,76,9,67,26,52,70,132,89,26,69,35,39,049,007740
188,Census Tract 78.11; Franklin County; Ohio,1948,180,27,24,66,42,178,37,132,63,89,153,195,231,143,220,168,39,049,007811
189,Census Tract 78.12; Franklin County; Ohio,2042,206,29,36,111,20,41,83,115,13,81,149,421,301,120,157,159,39,049,007812
190,Census Tract 78.20; Franklin County; Ohio,1773,294,39,40,77,246,76,58,187,100,87,299,56,109,11,0,94,39,049,007820
191,Census Tract 78.30; Franklin County; Ohio,1968,200,138,76,174,124,47,90,68,121,151,469,42,58,71,120,19,39,049,007830
192,Census Tract 79.22; Franklin County; Ohio,2793,14,53,48,57,10,17,40,59,137,189,228,416,394,369,359,403,39,049,007922
193,Census Tract 79.31; Franklin County; Ohio,1690,11,22,0,50,64,21,54,72,64,70,111,159,233,177,410,172,39,049,007931
